Subject,Session,Right,Left,Both
002,01,0.69,0.57,0.56
002,02,0.64,0.57,0.55
003,01,1.08,1.06,1
003,02,1.04,1.09,1.01
007,01,0.59,0.64,0.55
007,02,0.61,0.53,0.58
008,01,0.61,0.94,0.63
008,02,0.64,0.93,0.63
010,01,0.69,0.6,0.52
010,02,0.51,0.56,0.49
011,01,0.68,0.69,0.59
011,02,0.7,0.67,0.64
012,01,0.56,0.58,0.51
012,02,0.59,0.6,0.56
013,01,0.63,0.83,0.66
013,02,0.63,0.7,0.71
015,01,0.8,0.63,0.57
015,02,0.56,0.59,0.55
016,01,0.66,0.74,0.69
016,02,0.7,0.59,0.62
017,01,0.75,0.65,0.61
017,02,0.86,0.69,0.66
018,01,0.61,0.72,0.54
018,02,0.56,0.76,0.58
019,01,0.76,0.7,0.72
019,02,0.86,0.73,0.69
020,01,1.07,1.14,1.09
020,02,1.05,1.11,1.04
021,01,0.99,1.05,1.01
021,02,1.02,1,1.02
022,01,1.1,0.75,0.71
022,02,1.08,0.82,0.8
023,01,0.88,0.97,0.84
023,02,0.86,0.91,0.86
